,data_hora,natureza_acidente,bairro,endereco,numero,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,velocidade_max_via,mao_direcao,latitude,longitude
1104,2019-02-09 11:32:00,SEM VÍTIMA,CORDEIRO,AV PROFESSOR ESTEVAO FRANCISCO DA COSTA,,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0456967,-34.9185063
1105,2019-02-09 12:49:00,SEM VÍTIMA,SÍTIO DOS PINTOS,EST DOS PINTOS,23,COLISÃO FRONTAL,0,1,0,0,0,0,0,1,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0147493,-34.951862
1106,2019-02-09 15:00:00,SEM VÍTIMA,JORDÃO,AV MARIA IRENE,15,ABALROAMENTO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,60 km/h,Dupla,-8.140578699999999,-34.928234100000005
1107,2019-02-09 15:25:00,SEM VÍTIMA,BEBERIBE,AV BEBERIBE,4575,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,1,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0038219,-34.8974155
1108,2019-02-09 17:50:00,COM VÍTIMA,ESPINHEIRO,AV JOAO DE BARROS,,COLISÃO,1,1,0,0,0,0,0,0,0,1,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0379305,-34.8915966
1109,2019-02-09 18:24:00,COM VÍTIMA,ESPINHEIRO,AV JOAO DE BARROS,1179,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.0379305,-34.8915966
1110,2019-02-09 18:33:00,SEM VÍTIMA,CAXANGÁ,RUA DEPUTADO JOSE FRANCISCO DE MELO CAVALCANTI,459,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.025515799999999,-34.9507114
1111,2019-02-09 19:30:00,SEM VÍTIMA,AREIAS,AV RECIFE,,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,1,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.1160254,-34.923929
1112,2019-02-09 23:13:00,SEM VÍTIMA,TORRÕES,RUA DELMIRO GOUVEIA,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.063085000000001,-34.93142460000001
1113,2019-02-09 23:33:00,COM VÍTIMA,ILHA JOANA BEZERRA,VIADUTO CAPITAO TEMUDO,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,1,0,Viaduto,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,60 km/h,Dupla,-8.075106,-34.893494399999994
1114,2019-02-09 23:55:00,COM VÍTIMA,CORDEIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,60 km/h,Dupla,-8.062370399999999,-34.9319576
1115,2019-02-09 23:58:00,SEM VÍTIMA,BEBERIBE,RUA MAJOR DAVINO,,COLISÃO,1,1,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0131023,-34.8923155
1116,2019-02-10 00:19:00,SEM VÍTIMA,CORDEIRO,RUA MAURICIO DE NASSAU,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Chuvoso,Sem defeito,Perfeito estado,Molhada,Mal iluminada,Não informado,Única,-8.0258665,-34.859002200000006
1117,2019-02-10 01:56:00,SEM VÍTIMA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,ABALROAMENTO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.1155752,-34.895469899999995
1118,2019-02-10 03:32:00,COM VÍTIMA,ESPINHEIRO,RUA DR FERNANDO ALLAIN,,ABALROAMENTO TRANSVERSAL,2,0,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0489579,-34.8963515
1119,2019-02-10 05:28:00,COM VÍTIMA,CASA AMARELA,RUA CONEGO BARATA,,ABALROAMENTO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0297041,-34.900425899999995
1120,2019-02-10 10:51:00,COM VÍTIMA,ÁGUA FRIA,AV BEBERIBE,2171,COLISÃO,0,1,0,0,0,0,0,1,0,1,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0223817,-34.89403529999999
1121,2019-02-10 11:05:00,SEM VÍTIMA,CASA AMARELA,RUA VASCO DA GAMA,,COLISÃO,1,0,0,0,0,0,1,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.004228,-34.92281
1122,2019-02-10 11:26:00,COM VÍTIMA,SAN MARTIN,RUA OUREM,61,ABALROAMENTO TRANSVERSAL,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,20 km/h,Única,-8.0673694,-34.9259463
1123,2019-02-10 11:44:00,SEM VÍTIMA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,ABALROAMENTO LONGITUDINAL,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0856899,-34.9073777
1124,2019-02-10 12:27:00,SEM VÍTIMA,BOA VISTA,AV MARTINS DE BARROS,,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,1,0,0,0,0,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Não informado,-8.0679918,-34.8749493
1125,2019-02-10 13:00:00,COM VÍTIMA,IPUTINGA,RUA EMILIANO BRAGA,477,ABALROAMENTO LONGITUDINAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,30 km/h,Única,-8.0391681,-34.9444101
1126,2019-02-10 14:16:00,SEM VÍTIMA,Não informado,AV NORTE,,ABALROAMENTO TRANSVERSAL,1,1,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.027844,-34.903102000000004
1127,2019-02-10 15:18:00,SEM VÍTIMA,TEJIPIÓ,RUA FALCAO DE LACERDA,511,ABALROAMENTO TRANSVERSAL,1,1,0,0,0,0,0,0,0,0,0,Não informado,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.508698599999999,-35.38427
1128,2019-02-10 15:52:00,SEM VÍTIMA,VASCO DA GAMA,AV NORTE,6318,COLISÃO TRASEIRA,1,0,0,0,0,1,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.027844,-34.903102000000004
1129,2019-02-10 16:07:00,SEM VÍTIMA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,2555,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.110505,-34.911894200000006
1130,2019-02-10 16:31:00,SEM VÍTIMA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,1700,ABALROAMENTO LONGITUDINAL,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.1049229,-34.888773799999996
1131,2019-02-10 18:03:00,SEM VÍTIMA,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.0615339,-34.8974443
1132,2019-02-10 18:32:00,SEM VÍTIMA,BOA VIAGEM,RUA JOSE TRAJANO,351,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.1208062,-34.9007253
1133,2019-02-10 19:09:00,COM VÍTIMA,BOA VIAGEM,RUA COSMORAMA,,ABALROAMENTO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.138079,-34.9099092
1134,2019-02-10 19:28:00,COM VÍTIMA,PARNAMIRIM,RUA SEBASTIAO ALVES,155,ABALROAMENTO LONGITUDINAL,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Não existe,Incompleta,Seca,Mal iluminada,20 km/h,Única,-8.032709700000002,-34.9070755
1135,2019-02-10 20:12:00,SEM VÍTIMA,TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,,COLISÃO TRASEIRA,3,0,0,0,0,0,0,0,0,0,0,Não informado,Bom,Sem defeito,Perfeito estado,Seca,Mal iluminada,60 km/h,Dupla,-8.062370399999999,-34.9319576
1136,2019-02-10 21:34:00,SEM VÍTIMA,ESPINHEIRO,AV JOAO DE BARROS,1350,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,Não informado,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.0379305,-34.8915966
1137,2019-02-10 22:20:00,SEM VÍTIMA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,0,1,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,60 km/h,Única,-8.0615339,-34.8974443
1138,2019-02-11 07:17:00,SEM VÍTIMA,BOA VISTA,AV GOVERNADOR AGAMENON MAGALHAES,63,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,1,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,60 km/h,Dupla,-8.05719245,-34.89739976446599
